,track_id,danceability,energy,key,loudness,mode,valence,tempo,time_signature,era,era_encode
4041,4cO6F3LXSYRP71AlTv0eCf,0.161,0.205,1.0,-19.112,0.0,0.217,142.016,3.0,baroque,0.0
4042,45Bjn50qpOIsv1vn6ZTnkm,0.446,0.0834,6.0,-25.315,0.0,0.153,114.989,4.0,baroque,0.0
4043,3ZnLxqstVsYdreXJx4et8A,0.226,0.1,1.0,-19.821,1.0,0.314,170.437,3.0,baroque,0.0
4044,6W9PxAIU34UMLDYu6GBLdG,0.574,0.268,1.0,-18.196,1.0,0.772,121.62,4.0,baroque,0.0
4045,55OTgAuELOps3TQuBABAmW,0.103,0.0387,3.0,-27.118,1.0,0.245,63.56,3.0,baroque,0.0
4046,2llhydi9Fsxb1Tj3cl2SWt,0.119,0.0153,11.0,-30.805,1.0,0.032,95.476,3.0,baroque,0.0
4047,6lrSygIr3wRen5jMKIWgHB,0.185,0.036,2.0,-29.389,0.0,0.0561,89.029,1.0,baroque,0.0
4048,2GLQfbwALNojy6WNfVQOWL,0.521,0.198,1.0,-16.782,0.0,0.419,120.346,4.0,baroque,0.0
4049,2gg7ptVt790YYjnoMY7sYg,0.579,0.259,7.0,-15.376,1.0,0.813,99.444,4.0,baroque,0.0
4050,67qwiUlZ4Tegh277aKJTXy,0.0764,0.0498,2.0,-28.481,1.0,0.0379,60.367,3.0,baroque,0.0
4051,06PvoKjgzQlCgCQw8rcrSl,0.282,0.0231,5.0,-27.108,1.0,0.0636,126.222,5.0,baroque,0.0
4052,5JK7ERdbIQBVtkwi5raqaI,0.602,0.358,0.0,-13.815,1.0,0.858,115.9,4.0,baroque,0.0
4053,19Oc2UOhe3ZeVK8wolWsLX,0.57,0.454,10.0,-12.442,1.0,0.768,125.178,4.0,baroque,0.0
4054,3RQk7Phxx8vn8KjfFTsVov,0.416,0.226,7.0,-16.885,1.0,0.294,82.093,4.0,baroque,0.0
4055,6JTgDYkSiAw1cGyMYbkBXI,0.35,0.119,9.0,-18.067,0.0,0.104,100.751,1.0,baroque,0.0
4056,4eaLxinjz5AbsACil3tQnu,0.428,0.253,5.0,-16.279,1.0,0.503,125.231,4.0,baroque,0.0
4057,0QWhagBtboGerqLrj2Z803,0.239,0.133,7.0,-19.536,1.0,0.405,173.846,3.0,baroque,0.0
4058,2I6b7k4P0i9olRyCzu3VQB,0.525,0.288,0.0,-17.829,1.0,0.578,123.227,4.0,baroque,0.0
4059,6UI0tfYJNBhHsRKuRGpFtK,0.45,0.169,10.0,-20.043,1.0,0.485,77.623,1.0,baroque,0.0
4060,6kV07XCv941agKqwhywMNq,0.422,0.194,10.0,-17.315,1.0,0.597,137.156,4.0,baroque,0.0
